,zero,one,two,three,four,five,six,seven,eight,nine,nums,chars,upper,lower,special,strength
393,0,0,0,2,0,0,1,0,0,0,3,12,4,8,0,2
394,1,0,0,0,1,1,2,0,2,0,7,1,0,1,0,1
395,0,1,1,0,0,1,0,0,0,1,4,6,0,6,0,1
396,0,0,0,0,0,1,0,1,0,0,2,14,8,6,0,2
397,0,0,0,0,0,0,1,1,0,0,2,9,0,9,0,1
398,0,0,0,0,0,0,0,2,0,0,2,7,0,7,0,1
399,0,0,0,0,0,1,1,0,0,0,2,11,0,11,0,1
400,0,1,0,1,0,0,0,0,0,0,2,4,0,4,0,0
401,1,1,2,0,0,0,0,0,0,0,4,6,0,6,0,1
402,3,0,0,0,1,0,1,0,1,1,7,2,0,2,0,1
403,0,1,0,0,0,0,0,0,0,0,1,8,0,8,0,1
404,0,1,1,1,0,0,0,0,0,0,3,8,0,8,0,1
